mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,output
-118.6279144,125.0836258,-23.44372368,41.32148361,-5.976108074,20.11514091,-16.04541016,17.85519791,-14.6334343,10.27052689,-9.708278656,10.18387508,-4.681614399,8.417439461,-7.233476639,-2.853603363,-3.241280317,0.722208977,-5.050335407,-0.243026793,blues
-125.5907059,122.4212265,-20.71801949,50.12838745,-11.3333025,21.38540077,-15.96079636,19.45410347,-12.46591759,17.89816856,-11.73255444,8.145000458,-7.717750549,8.39715004,-8.30049324,4.074709415,-6.055294037,0.159015477,-2.837698936,5.784063339,blues
-132.4419403,115.0851746,-14.81166649,50.18929291,-0.680819452,24.65037537,-13.50610447,15.64338589,-13.21663666,10.40602493,-7.991464615,11.8539629,-4.677677155,6.571109772,-2.42475009,4.806280136,-1.768609762,2.378768206,-1.938424468,2.517374754,blues
-118.2310867,132.1165009,-18.75833511,39.76930618,-13.26042557,20.46813393,-14.56344795,18.74510384,-13.75546265,12.99375916,-12.64888668,10.3893137,-4.362738609,9.15619278,-9.88944149,-1.359110713,-3.841154575,1.218587518,-3.580352068,3.630866051,blues
-105.9683762,134.6436462,-19.96174812,40.17175293,-14.27193928,18.73461723,-15.61938095,19.20796585,-18.274683,14.31669331,-5.792194366,17.04543686,-5.681398869,5.705521107,-7.98608017,2.092937469,0.664582253,1.689446449,-3.392489195,0.5369609,blues
-100.7527924,111.5099792,-13.61438179,47.21832275,-12.2998085,19.72477341,-13.57834816,15.33759975,-12.42359352,12.25274181,-10.47211456,9.367176056,-3.419892788,6.704868793,-6.999777317,2.127198458,-3.448373079,-0.416164815,-3.649624825,3.025217772,blues
-101.7730331,117.0103302,-20.8125782,42.7965889,-9.790636063,22.84912491,-16.34083939,18.39141464,-16.10074997,15.3352108,-10.30678368,11.56977177,-7.937484741,7.370623589,-5.658714771,4.893660069,-2.068194389,1.428140759,-3.267124176,3.276938677,blues
-109.1650772,127.6955109,-20.28654671,38.8380127,-12.6581049,17.81919289,-16.39320946,16.74455833,-17.36836243,11.82099247,-9.058530807,11.66859627,-4.24179554,7.482486725,-5.039710045,3.122666597,-3.637886047,-0.105147727,-2.016984701,0.210786968,blues
-113.3731995,129.0392151,-31.37776375,42.99452972,-6.005670071,19.90250587,-18.3959446,18.18878555,-13.09365082,13.78528595,-10.41704845,8.280641556,-7.179648399,5.982778072,-9.880797386,-0.285936028,-4.370028973,2.114592075,-2.264662981,3.758598328,blues
-125.5329056,126.7649002,-32.45678711,53.6588974,-1.761399508,23.6238327,-20.04943466,15.45357227,-13.67712402,11.42565823,-15.09278393,9.418168068,-4.564155102,9.792022705,-4.36627388,6.691686153,-3.448303699,0.099791542,-7.677177429,0.791775644,blues
